cidade,data,temperatura,descricao,nuvens,dados_climaticos_id
Palmas,2024-06-03 21:00:00,31,nublado,63,3474574
Palmas,2024-06-04 00:00:00,27,nublado,82,3474574
Palmas,2024-06-04 03:00:00,24,nublado,68,3474574
Palmas,2024-06-04 06:00:00,24,nublado,62,3474574
Palmas,2024-06-04 09:00:00,24,nublado,99,3474574
Palmas,2024-06-04 12:00:00,28,nublado,100,3474574
Palmas,2024-06-04 15:00:00,32,nublado,95,3474574
Palmas,2024-06-04 18:00:00,34,nublado,98,3474574
Palmas,2024-06-04 21:00:00,29,nublado,100,3474574
Palmas,2024-06-05 00:00:00,27,nublado,100,3474574
Palmas,2024-06-05 03:00:00,26,nublado,95,3474574
Palmas,2024-06-05 06:00:00,25,nublado,98,3474574
Palmas,2024-06-05 09:00:00,24,nublado,100,3474574
Palmas,2024-06-05 12:00:00,29,nublado,100,3474574
Palmas,2024-06-05 15:00:00,33,nublado,90,3474574
Palmas,2024-06-05 18:00:00,35,nublado,80,3474574
Palmas,2024-06-05 21:00:00,30,nublado,88,3474574
Palmas,2024-06-06 00:00:00,29,nublado,96,3474574
Palmas,2024-06-06 03:00:00,28,nublado,100,3474574
Palmas,2024-06-06 06:00:00,25,nublado,90,3474574
Palmas,2024-06-06 09:00:00,24,céu limpo,5,3474574
Palmas,2024-06-06 12:00:00,29,algumas nuvens,24,3474574
Palmas,2024-06-06 15:00:00,34,céu limpo,4,3474574
Palmas,2024-06-06 18:00:00,35,céu limpo,2,3474574
Palmas,2024-06-06 21:00:00,31,nuvens dispersas,36,3474574
Maceió,2024-06-02 00:00:00,25,chuva moderada,52,3395981
Maceió,2024-06-02 03:00:00,25,chuva moderada,26,3395981
Maceió,2024-06-02 06:00:00,25,chuva moderada,19,3395981
Maceió,2024-06-02 09:00:00,25,chuva moderada,27,3395981
Maceió,2024-06-02 12:00:00,26,chuva moderada,22,3395981
Maceió,2024-06-02 15:00:00,26,chuva moderada,12,3395981
Maceió,2024-06-02 18:00:00,25,chuva moderada,14,3395981
Maceió,2024-06-02 21:00:00,26,chuva leve,52,3395981
Maceió,2024-06-03 00:00:00,26,chuva leve,56,3395981
Maceió,2024-06-03 03:00:00,26,nublado,100,3395981
Maceió,2024-06-03 06:00:00,26,nublado,82,3395981
Maceió,2024-06-03 09:00:00,25,céu limpo,8,3395981
Maceió,2024-06-03 12:00:00,26,chuva leve,15,3395981
Maceió,2024-06-03 15:00:00,26,chuva leve,59,3395981
Maceió,2024-06-03 18:00:00,26,chuva leve,45,3395981
Maceió,2024-06-03 21:00:00,26,chuva leve,68,3395981
Maceió,2024-06-04 00:00:00,25,chuva leve,59,3395981
Maceió,2024-06-04 03:00:00,25,chuva leve,34,3395981
Maceió,2024-06-04 06:00:00,25,chuva leve,25,3395981
Maceió,2024-06-04 09:00:00,25,chuva leve,33,3395981
Maceió,2024-06-04 12:00:00,26,chuva leve,24,3395981
Maceió,2024-06-04 15:00:00,27,chuva leve,13,3395981
Maceió,2024-06-04 18:00:00,27,chuva leve,23,3395981
Maceió,2024-06-04 21:00:00,26,chuva leve,28,3395981
Maceió,2024-06-05 00:00:00,25,chuva leve,64,3395981
Maceió,2024-06-05 03:00:00,24,chuva moderada,96,3395981
Maceió,2024-06-05 06:00:00,24,chuva moderada,81,3395981
Maceió,2024-06-05 09:00:00,24,chuva moderada,35,3395981
Maceió,2024-06-05 12:00:00,25,chuva moderada,40,3395981
Maceió,2024-06-05 15:00:00,26,chuva moderada,94,3395981
Maceió,2024-06-05 18:00:00,26,chuva moderada,97,3395981
Maceió,2024-06-05 21:00:00,25,chuva leve,51,3395981
Maceió,2024-06-06 00:00:00,25,chuva leve,52,3395981
Maceió,2024-06-06 03:00:00,25,chuva leve,100,3395981
Maceió,2024-06-06 06:00:00,24,chuva moderada,78,3395981
Maceió,2024-06-06 09:00:00,24,chuva moderada,72,3395981
Maceió,2024-06-06 12:00:00,26,chuva leve,86,3395981
Maceió,2024-06-06 15:00:00,26,chuva leve,60,3395981
Maceió,2024-06-06 18:00:00,26,chuva leve,41,3395981
Maceió,2024-06-06 21:00:00,25,chuva moderada,52,3395981
Salvador,2024-06-02 00:00:00,30,chuva leve,75,3585968
Salvador,2024-06-02 03:00:00,26,chuva moderada,90,3585968
Salvador,2024-06-02 06:00:00,22,chuva moderada,100,3585968
Salvador,2024-06-02 09:00:00,21,nublado,100,3585968
Salvador,2024-06-02 12:00:00,21,chuva leve,100,3585968
